iter	Passed	Remaining
0	131	131337
1	146	73219
2	161	53632
3	176	43841
4	191	38095
5	206	34138
6	220	31272
7	236	29276
8	250	27561
9	264	26148
10	278	25019
11	293	24203
12	309	23461
13	323	22805
14	337	22184
15	352	21686
16	367	21266
17	382	20888
18	397	20537
19	412	20202
20	426	19887
21	440	19595
22	454	19302
23	468	19045
24	481	18789
25	494	18541
26	508	18322
27	522	18142
28	535	17942
29	549	17767
30	563	17615
31	577	17454
32	590	17309
33	604	17175
34	618	17050
35	631	16907
36	645	16791
37	658	16674
38	672	16575
39	685	16457
40	698	16342
41	713	16265
42	728	16213
43	743	16145
44	758	16093
45	773	16049
46	799	16201
47	822	16313
48	838	16266
49	854	16231
50	869	16181
51	884	16123
52	897	16044
53	912	15980
54	927	15934
55	941	15875
56	955	15815
57	970	15761
58	985	15718
59	999	15660
60	1013	15605
61	1027	15549
62	1041	15490
63	1054	15428
64	1068	15364
65	1082	15316
66	1096	15270
67	1122	15382
68	1140	15384
69	1161	15436
70	1180	15447
71	1198	15447
72	1213	15405
73	1228	15376
74	1242	15329
75	1263	15356
76	1278	15320
77	1292	15283
78	1306	15230
79	1319	15179
80	1334	15136
81	1347	15082
82	1360	15031
83	1373	14982
84	1388	14943
85	1401	14898
86	1414	14848
87	1428	14808
88	1442	14762
89	1456	14724
90	1469	14675
91	1483	14643
92	1498	14614
93	1513	14590
94	1528	14558
95	1542	14527
96	1556	14492
97	1570	14456
98	1585	14427
99	1599	14395
100	1613	14358
101	1626	14321
102	1640	14283
103	1652	14238
104	1665	14200
105	1678	14154
106	1690	14106
107	1703	14068
108	1715	14025
109	1728	13982
110	1740	13940
111	1753	13901
112	1766	13863
113	1779	13828
114	1791	13784
115	1804	13750
116	1816	13712
117	1829	13675
118	1841	13634
119	1854	13598
120	1867	13568
121	1881	13541
122	1896	13519
123	1910	13493
124	1923	13465
125	1937	13437
126	1950	13410
127	1964	13381
128	1978	13356
129	1990	13320
130	2003	13292
131	2016	13257
132	2029	13227
133	2041	13193
134	2053	13158
135	2066	13129
136	2078	13095
137	2091	13063
138	2103	13030
139	2116	13000
140	2128	12968
141	2141	12939
142	2152	12902
143	2164	12869
144	2177	12839
145	2189	12807
146	2201	12775
147	2215	12753
148	2228	12726
149	2240	12698
150	2252	12666
151	2265	12638
152	2278	12612
153	2290	12583
154	2302	12554
155	2316	12530
156	2328	12502
157	2341	12478
158	2352	12445
159	2365	12417
160	2377	12389
161	2389	12362
162	2402	12336
163	2415	12313
164	2428	12289
165	2442	12271
166	2454	12243
167	2466	12215
168	2479	12190
169	2491	12165
170	2504	12141
171	2517	12119
172	2531	12099
173	2544	12080
174	2559	12063
175	2572	12042
176	2585	12021
177	2599	12005
178	2613	11988
179	2627	11970
180	2641	11951
181	2654	11930
182	2666	11904
183	2679	11881
184	2692	11860
185	2705	11838
186	2717	11813
187	2730	11794
188	2743	11770
189	2756	11749
190	2768	11724
191	2780	11701
192	2794	11685
193	2808	11666
194	2821	11649
195	2835	11629
196	2848	11612
197	2863	11597
198	2876	11577
199	2889	11558
200	2902	11537
201	2915	11519
202	2929	11501
203	2943	11486
204	2957	11470
205	2971	11453
206	2985	11436
207	2998	11417
208	3012	11399
209	3025	11381
210	3039	11367
211	3053	11349
212	3067	11334
213	3081	11316
214	3094	11298
215	3108	11281
216	3121	11264
217	3135	11247
218	3149	11232
219	3163	11216
220	3176	11198
221	3190	11181
222	3204	11164
223	3218	11148
224	3232	11133
225	3246	11119
226	3259	11100
227	3274	11087
228	3289	11073
229	3303	11058
230	3317	11044
231	3331	11029
232	3345	11014
233	3361	11003
234	3375	10988
235	3389	10972
236	3402	10954
237	3416	10937
238	3429	10919
239	3442	10900
240	3455	10883
241	3469	10866
242	3483	10850
243	3495	10830
244	3507	10809
245	3519	10788
246	3532	10768
247	3543	10745
248	3556	10725
249	3568	10706
250	3581	10687
251	3593	10665
252	3605	10644
253	3617	10624
254	3630	10607
255	3642	10586
256	3655	10568
257	3668	10549
258	3680	10529
259	3692	10509
260	3704	10487
261	3716	10468
262	3729	10449
263	3740	10428
264	3753	10410
265	3766	10393
266	3779	10374
267	3791	10356
268	3804	10338
269	3816	10319
270	3829	10301
271	3840	10280
272	3852	10259
273	3865	10241
274	3877	10223
275	3890	10205
276	3902	10187
277	3915	10168
278	3928	10151
279	3940	10132
280	3952	10114
281	3965	10096
282	3979	10081
283	3991	10063
284	4003	10044
285	4016	10026
286	4028	10008
287	4041	9992
288	4054	9973
289	4066	9955
290	4079	9939
291	4092	9923
292	4104	9903
293	4116	9884
294	4128	9866
295	4139	9846
296	4151	9827
297	4164	9810
298	4177	9793
299	4189	9775
300	4201	9758
301	4214	9740
302	4227	9724
303	4239	9706
304	4251	9688
305	4264	9671
306	4277	9656
307	4289	9637
308	4301	9618
309	4312	9599
310	4325	9582
311	4337	9565
312	4349	9547
313	4362	9531
314	4375	9514
315	4387	9497
316	4400	9480
317	4411	9461
318	4423	9443
319	4436	9426
320	4449	9410
321	4460	9392
322	4473	9376
323	4485	9359
324	4498	9343
325	4510	9324
326	4522	9307
327	4534	9290
328	4547	9274
329	4559	9256
330	4571	9238
331	4583	9222
332	4596	9206
333	4608	9188
334	4620	9171
335	4632	9154
336	4644	9138
337	4656	9120
338	4668	9103
339	4681	9088
340	4694	9071
341	4706	9054
342	4718	9037
343	4730	9021
344	4743	9006
345	4756	8990
346	4768	8973
347	4782	8959
348	4794	8943
349	4806	8925
350	4819	8910
351	4831	8894
352	4844	8878
353	4856	8861
354	4868	8845
355	4880	8829
356	4894	8814
357	4905	8797
358	4918	8781
359	4930	8765
360	4943	8750
361	4955	8733
362	4968	8719
363	4981	8704
364	4994	8689
365	5006	8673
366	5018	8656
367	5030	8640
368	5043	8624
369	5055	8607
370	5067	8592
371	5080	8576
372	5093	8561
373	5105	8546
374	5117	8529
375	5130	8514
376	5142	8498
377	5154	8481
378	5166	8464
379	5178	8449
380	5191	8433
381	5203	8418
382	5216	8402
383	5229	8388
384	5241	8372
385	5253	8356
386	5266	8341
387	5278	8326
388	5291	8311
389	5304	8297
390	5317	8281
391	5329	8266
392	5342	8252
393	5354	8235
394	5366	8219
395	5379	8205
396	5391	8189
397	5404	8174
398	5416	8159
399	5428	8143
400	5441	8128
401	5453	8111
402	5465	8096
403	5477	8081
404	5491	8067
405	5504	8052
406	5517	8039
407	5530	8024
408	5544	8011
409	5557	7997
410	5570	7983
411	5584	7970
412	5597	7956
413	5612	7944
414	5626	7930
415	5639	7917
416	5651	7901
417	5664	7886
418	5677	7872
419	5689	7857
420	5703	7844
421	5716	7829
422	5728	7813
423	5741	7799
424	5753	7783
425	5765	7768
426	5777	7752
427	5789	7736
428	5802	7723
429	5815	7708
430	5827	7693
431	5839	7678
432	5851	7662
433	5863	7646
434	5875	7631
435	5888	7616
436	5900	7602
437	5914	7588
438	5926	7574
439	5939	7559
440	5954	7547
441	5967	7533
442	5981	7520
443	5995	7508
444	6010	7495
445	6023	7482
446	6039	7471
447	6053	7458
448	6066	7444
449	6079	7430
450	6093	7417
451	6109	7407
452	6123	7393
453	6136	7380
454	6150	7366
455	6164	7354
456	6179	7342
457	6194	7330
458	6208	7318
459	6222	7304
460	6237	7292
461	6252	7280
462	6266	7267
463	6280	7254
464	6293	7241
465	6307	7228
466	6320	7214
467	6334	7201
468	6348	7187
469	6361	7173
470	6376	7161
471	6388	7146
472	6402	7133
473	6416	7120
474	6431	7108
475	6445	7095
476	6459	7082
477	6473	7069
478	6487	7056
479	6500	7042
480	6514	7029
481	6528	7016
482	6542	7003
483	6556	6989
484	6569	6976
485	6584	6964
486	6599	6951
487	6613	6939
488	6628	6926
489	6642	6914
490	6657	6901
491	6671	6888
492	6685	6875
493	6699	6862
494	6714	6850
495	6728	6837
496	6743	6825
497	6758	6812
498	6771	6799
499	6785	6785
500	6799	6772
501	6814	6759
502	6828	6746
503	6843	6734
504	6858	6722
505	6872	6709
506	6886	6696
507	6901	6683
508	6915	6671
509	6929	6658
510	6945	6646
511	6959	6633
512	6973	6620
513	6986	6606
514	7000	6592
515	7014	6579
516	7028	6566
517	7042	6553
518	7056	6539
519	7070	6527
520	7085	6513
521	7098	6500
522	7112	6486
523	7126	6473
524	7140	6460
525	7154	6446
526	7167	6433
527	7181	6419
528	7194	6405
529	7208	6392
530	7223	6379
531	7236	6366
532	7251	6353
533	7265	6340
534	7278	6326
535	7292	6312
536	7305	6298
537	7319	6285
538	7333	6272
539	7347	6258
540	7361	6245
541	7375	6232
542	7389	6218
543	7403	6205
544	7417	6192
545	7430	6178
546	7445	6165
547	7460	6153
548	7476	6142
549	7491	6129
550	7508	6118
551	7524	6106
552	7539	6094
553	7554	6081
554	7570	6070
555	7585	6057
556	7599	6044
557	7615	6031
558	7629	6019
559	7643	6005
560	7659	5993
561	7672	5979
562	7687	5966
563	7701	5953
564	7715	5940
565	7728	5926
566	7741	5912
567	7756	5899
568	7770	5885
569	7783	5872
570	7798	5859
571	7812	5845
572	7826	5832
573	7841	5819
574	7857	5807
575	7872	5794
576	7886	5781
577	7902	5769
578	7917	5757
579	7932	5743
580	7947	5731
581	7962	5718
582	7976	5705
583	7990	5691
584	8004	5678
585	8017	5664
586	8031	5650
587	8045	5637
588	8058	5623
589	8072	5609
590	8085	5595
591	8099	5582
592	8113	5568
593	8127	5554
594	8140	5541
595	8154	5527
596	8168	5513
597	8182	5500
598	8198	5488
599	8214	5476
600	8228	5463
601	8243	5449
602	8257	5436
603	8272	5423
604	8286	5410
605	8300	5396
606	8314	5383
607	8328	5369
608	8342	5356
609	8356	5342
610	8370	5329
611	8383	5315
612	8398	5302
613	8410	5287
614	8424	5274
615	8437	5259
616	8451	5246
617	8465	5232
618	8479	5219
619	8493	5205
620	8506	5191
621	8520	5178
622	8534	5164
623	8547	5150
624	8560	5136
625	8574	5122
626	8588	5109
627	8602	5095
628	8617	5082
629	8631	5069
630	8646	5056
631	8660	5042
632	8674	5029
633	8688	5016
634	8703	5002
635	8717	4989
636	8730	4975
637	8744	4961
638	8757	4947
639	8770	4933
640	8783	4919
641	8796	4905
642	8810	4891
643	8823	4877
644	8836	4863
645	8850	4850
646	8865	4836
647	8879	4823
648	8893	4809
649	8906	4795
650	8920	4782
651	8933	4768
652	8947	4754
653	8961	4741
654	8974	4727
655	8988	4713
656	9002	4699
657	9015	4686
658	9029	4672
659	9043	4658
660	9056	4644
661	9069	4630
662	9083	4617
663	9097	4603
664	9111	4589
665	9124	4575
666	9139	4562
667	9152	4548
668	9166	4535
669	9180	4521
670	9195	4508
671	9208	4494
672	9222	4481
673	9237	4467
674	9251	4454
675	9265	4440
676	9281	4428
677	9295	4414
678	9308	4400
679	9320	4386
680	9333	4372
681	9348	4358
682	9361	4344
683	9374	4330
684	9387	4316
685	9400	4303
686	9414	4289
687	9428	4275
688	9442	4262
689	9456	4248
690	9469	4234
691	9483	4220
692	9496	4207
693	9510	4193
694	9524	4179
695	9537	4165
696	9551	4152
697	9565	4138
698	9578	4124
699	9592	4111
700	9606	4097
701	9619	4083
702	9633	4069
703	9647	4056
704	9663	4043
705	9677	4029
706	9691	4016
707	9705	4002
708	9719	3989
709	9733	3975
710	9748	3962
711	9761	3948
712	9775	3934
713	9789	3921
714	9802	3907
715	9816	3893
716	9829	3879
717	9842	3865
